Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points,Non Extrema Points
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,F,632,1001,0.13014084666938916,720,687,43,99,5
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,G,722,1001,0.1494650980392157,664,700,33,81,2
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,H,786,1001,0.1960543791846425,913,676,60,132,0
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,I,374,1001,0.09362202352941176,490,676,26,58,0
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,J,380,1001,0.11144287840537306,614,873,23,57,1
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,K,716,1001,0.16939762370185332,819,676,57,133,5
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,L,648,1001,0.1152504556195372,627,689,34,82,1
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,M,954,1001,0.2198988235294118,1050,676,52,116,0
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,N,764,1001,0.15234738807522008,897,676,41,91,0
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,O,726,1001,0.16236705882352945,636,700,10,30,2
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,P,608,1001,0.14216677647058826,654,676,29,69,1
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,Q,742,1001,0.21434002352941178,662,949,28,80,5
