Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,h,467,1001,438,707,0.08748412407946754,29,71
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,i,287,1001,242,658,0.043166520261437906,24,64
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,j,271,1001,501,881,0.06058170588235295,21,57
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,k,434,1001,411,685,0.08177555174148936,33,73
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,l,254,1001,312,685,0.051984112745098045,17,39
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,m,731,1001,655,426,0.1017753622997053,44,112
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,n,519,1001,427,426,0.07144871341592325,31,81
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,o,397,1001,335,426,0.05428576470588235,9,27
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,p,461,1001,569,829,0.09623151885290496,35,83
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,q,454,1001,424,719,0.09087108356110983,29,71
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,r,356,1001,357,416,0.0414083137254902,22,56
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,s,294,1001,292,426,0.037073694117647056,16,48
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,t,314,1001,322,553,0.04754466015997091,27,59
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,u,484,1001,424,426,0.06953230892993847,31,81
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,v,524,1001,478,426,0.06388329411764707,23,65
